object_id,artist_id,artist_name,relationship_type
5565,319,赵少安,creator
5566,323,黄永玉,creator
5585,326,刘国松,creator
5587,324,黄胄,creator
5588,325,伊索达·科里？赛,creator
5591,333,王建山,creator
5593,338,吉田弘,creator
5594,329,李荣融,creator
5595,336,杨泳梁,creator
5597,318,伯尼斯·宾,creator
5598,318,伯尼斯·宾,creator
5599,318,伯尼斯·宾,creator
5600,318,伯尼斯·宾,creator
5601,318,伯尼斯·宾,creator
5602,318,伯尼斯·宾,creator
5603,318,伯尼斯·宾,creator
5607,342,邹哲,creator
5611,322,杜恒,creator
5612,339,张鸣岐,creator
5613,340,张瑞图,creator
5627,331,盛茂业,creator
5628,327,陆灿,creator
5635,332,Takeuchi Seiho,creator
5636,326,刘国松,creator
5807,320,陈淳,creator
5808,321,陈献章,creator
5809,334,文征明,creator
5810,335,肖如,creator
5811,341,赵中山,creator
5812,328,卢植,creator
5922,330,沈周,creator
6089,326,刘国松,creator
6094,337,叶公超,creator
